raw_text
Amazon Order #112-3344 paid Rs. 1299 on 12-Jan-2025
Flipkart: id FK-9988 sent 450 INR. Date: 2025/01/13
Swiggy order 5566, amount 340, completed 14-Jan-2025
Uber Trip on 15 Jan cost 500
Amazon.in Order #778-9901 paid Rs.1,899 on 14-Jan-2025
Amazon Order #778-9902 paid Rs.1,000 on 14-Jan-2025
Amazon Order #778-9903 paid Rs.500 on 14-Jan-2025
Amazon Order #778-9904 paid Rs.200 on 14-Jan-2025
Flipkart India id FK-4455 sent 1200 INR Date: 2025/01/15
Swiggy order 7788, amount -260, completed 16-Jan-2025
Uber Trip on 17 Jan cost 50000
Amazon Order #991-3344 paid Rs. 2,199 on 18-Jan-2025
Flipkart id FK-9999 sent 300 INR Date: 2025/01/18
Swiggy order 1122, amount 150, completed 19-Jan-2025
Uber Trip on 20 Jan cost 450
Amazon Order #221-5566 paid Rs. 899 on 20-Jan-2025
Flipkart: id FK-1001 sent 2200 INR. Date: 2025/01/21
Swiggy order 3344, amount 600, completed 21-Jan-2025
Uber Trip on 22 Jan cost 300
Amazon.in Order #332-1122 paid Rs.4,500 on 22-Jan-2025
Flipkart India id FK-2020 sent 150 INR Date: 2025/01/23
Swiggy order 5500, amount 120, completed 23-Jan-2025
Uber Trip on 24 Jan cost 550
Amazon Order #445-6677 paid Rs. 120 on 24-Jan-2025
Flipkart id FK-3030 sent 999 INR Date: 2025/01/25
Swiggy order 6600, amount 850, completed 25-Jan-2025
Uber Trip on 26 Jan cost 400
Amazon Order #556-7788 paid Rs. 3,200 on 26-Jan-2025
Flipkart: id FK-4040 sent 5000 INR. Date: 2025/01/27
Swiggy order 7700, amount 95, completed 27-Jan-2025
Uber Trip on 28 Jan cost 600
Amazon.in Order #667-8899 paid Rs.1,100 on 28-Jan-2025
Flipkart India id FK-5050 sent 750 INR Date: 2025/01/29
Swiggy order 8800, amount 330, completed 29-Jan-2025
Uber Trip on 30 Jan cost 350
Amazon Order #778-0011 paid Rs. 2,500 on 30-Jan-2025
Flipkart id FK-6060 sent 1100 INR Date: 2025/01/31
Swiggy order 9900, amount 420, completed 31-Jan-2025
Uber Trip on 01 Feb cost 500
Amazon Order #889-1122 paid Rs. 600 on 01-Feb-2025
Flipkart: id FK-7070 sent 300 INR. Date: 2025/02/02
Swiggy order 1010, amount 250, completed 02-Feb-2025
Uber Trip on 03 Feb cost 400
Amazon.in Order #990-2233 paid Rs.1,500 on 03-Feb-2025
Flipkart India id FK-8080 sent 2000 INR Date: 2025/02/04
Swiggy order 2020, amount 180, completed 04-Feb-2025
Uber Trip on 05 Feb cost 600
Amazon Order #001-3344 paid Rs. 999 on 05-Feb-2025
Flipkart id FK-9090 sent 450 INR Date: 2025/02/06
Swiggy order 3030, amount 550, completed 06-Feb-2025
